New York (Central Park), New York February-January Average Temperature
Units: Degrees Fahrenheit
Base Period: 1895-2022
Missing: -99
Date,Value,Anomaly
189601,51.3,-2.6
189701,51.7,-2.2
189801,52.0,-1.9
189901,52.7,-1.2
190001,52.1,-1.8
190101,52.7,-1.2
190201,50.8,-3.1
190301,51.5,-2.4
190401,51.1,-2.8
190501,49.2,-4.7
190601,51.9,-2.0
190701,52.5,-1.4
190801,50.5,-3.4
190901,52.9,-1.0
191001,51.8,-2.1
191101,52.3,-1.6
191201,51.7,-2.2
191301,53.3,-0.6
191401,53.3,-0.6
191501,51.3,-2.6
191601,52.7,-1.2
191701,51.1,-2.8
191801,48.9,-5.0
191901,53.4,-0.5
192001,51.9,-2.0
192101,52.5,-1.4
192201,53.9,0.0
192301,53.1,-0.8
192401,52.6,-1.3
192501,51.0,-2.9
192601,53.2,-0.7
192701,50.6,-3.3
192801,53.1,-0.8
192901,52.8,-1.1
193001,53.7,-0.2
193101,53.9,0.0
193201,56.1,2.2
193301,54.4,0.5
193401,53.2,-0.7
193501,51.9,-2.0
193601,52.5,-1.4
193701,53.7,-0.2
193801,53.2,-0.7
193901,54.6,0.7
194001,53.5,-0.4
194101,51.7,-2.2
194201,54.5,0.6
194301,53.5,-0.4
194401,53.4,-0.5
194501,53.3,-0.6
194601,54.3,0.4
194701,55.1,1.2
194801,52.2,-1.7
194901,54.4,0.5
195001,56.4,2.5
195101,52.4,-1.5
195201,54.4,0.5
195301,55.2,1.3
195401,55.8,1.9
195501,54.4,0.5
195601,54.2,0.3
195701,52.7,-1.2
195801,55.2,1.3
195901,51.9,-2.0
196001,55.1,1.2
196101,52.9,-1.0
196201,54.3,0.4
196301,52.3,-1.6
196401,53.5,-0.4
196501,53.5,-0.4
196601,53.9,0.0
196701,54.9,1.0
196801,51.5,-2.4
196901,53.9,0.0
197001,53.7,-0.2
197101,-99,-99
197201,55.4,1.5
197301,53.7,-0.2
197401,55.8,1.9
197501,54.6,0.7
197601,54.1,0.2
197701,53.0,-0.9
197801,54.5,0.6
197901,53.1,-0.8
198001,54.0,0.1
198101,53.3,-0.6
198201,54.3,0.4
198301,54.6,0.7
198401,54.7,0.8
198501,54.4,0.5
198601,55.0,1.1
198701,54.6,0.7
198801,54.5,0.6
198901,55.0,1.1
199001,53.9,0.0
199101,56.3,2.4
199201,56.9,3.0
199301,53.6,-0.3
199401,54.2,0.3
199501,55.8,1.9
199601,54.4,0.5
199701,54.3,0.4
199801,55.4,1.5
199901,57.1,3.2
200001,56.7,2.8
200101,54.5,0.6
200201,57.2,3.3
200301,55.8,1.9
200401,53.6,-0.3
200501,55.5,1.6
200601,57.0,3.1
200701,57.0,3.1
200801,55.4,1.5
200901,55.1,1.2
201001,54.9,1.0
201101,56.9,3.0
201201,57.5,3.6
201301,57.6,3.7
201401,55.0,1.1
201501,54.5,0.6
201601,57.0,3.1
201701,57.5,3.6
201801,55.8,1.9
201901,56.0,2.1
202001,56.2,2.3
202101,56.9,3.0
202201,56.5,2.6
